system,name,distance,coordinates,stellar_class
Xi Botis,Xi Botis A,22.01090.0081,14h 51m 23.4s19  06 02,G8Ve
Xi Botis,Xi Botis B,,,K4Ve
Gliese 299 (Ross 619),Gliese 299 (Ross 619),22.0790.014,08h 11m 57.6s08  46 22,M4.5V
GJ 3522 (G 41-14),GJ 3522 (G 41-14) A,22.080.30,08h 58m 56.3s08  28 26,M3.5V
GJ 3522 (G 41-14),GJ 3522 (G 41-14) B,,,M
GJ 3522 (G 41-14),GJ 3522 (G 41-14) C,,,M
Gliese 829 (Ross 775),Gliese 829 (Ross 775) A,22.11290.0039,21h 29m 36.8s17  38 36,M3M
Gliese 829 (Ross 775),Gliese 829 (Ross 775) B,,,M
Scholz's Star,Scholz's Star A,22.170.18,07h 20m 03.3s08  46 50,M9.5
Scholz's Star,Scholz's Star B,,,T5.5
WISE 19282356,WISE 19282356,22.280.18,19h 28m 41.5s23  56 02,T6
WISE J02540223,WISE J02540223,22.320.23,02h 54m 09.6s02  23 59,T8
LTT 1445 (BD-17 588),LTT 1445 (BD-17 588) A,22.38670.0037,03h 01m 51.4s16  35 36,M3.0
LTT 1445 (BD-17 588),LTT 1445 (BD-17 588) B,,,M3.5
LTT 1445 (BD-17 588),LTT 1445 (BD-17 588) C,,,M
Gliese 880 (HD 216899),Gliese 880 (HD 216899),22.39730.0039,22h 56m 34.8s16  33 12,M2.0V
CWISE J10555443,CWISE J10555443,22.52.62.0,10h 55m 12.1s54  43 28,Y0 (pec)
"Gliese 402 (EE Leonis, Wolf 358)","Gliese 402 (EE Leonis, Wolf 358)",22.72250.0045,10h 50m 52.0s06  48 29.2,M5.0V
Gliese 393 (BD01 2447),Gliese 393 (BD01 2447),22.95340.0034,10h 28m 55.6s00  50 28,M2.5V
Gliese 809 (HD 199305),Gliese 809 (HD 199305),22.96000.0026,20h 53m 19.8s62  09 16,M2.0V
LSPM J21463813 (UCAC4 642-113039),LSPM J21463813 (UCAC4 642-113039),22.98580.0034,21h 46m 22.1s38  13 05,M5V
"LHS 3003 (GJ 3877, LP 914-54)","LHS 3003 (GJ 3877, LP 914-54)",23.0030.010,14h 56m 38.3s28  09 47,M7.0V
WISE 20561459,WISE 20561459,23.160.33,20h 56m 28.9s14  59 54,Y0
GJ 1068 (L 230-188),GJ 1068 (L 230-188),23.18160.0035,04h 10m 28.1s53  36 08,M4.5
WISE J004945.61215120.0,WISE J004945.61215120.0,23.230.35,00h 49m 45.6s21  51 20,T8.5
GJ 1286 (G 157-77),GJ 1286 (G 157-77),23.40740.0074,23h 35m 10.5s02  23 21,M5.5V
"Gliese 105 (268 G. Ceti, HD 16160)","Gliese 105 (268 G. Ceti, HD 16160) A",23.55990.0071,02h 36m 04.9s06  53 13,M1V
"Gliese 105 (268 G. Ceti, HD 16160)","Gliese 105 (268 G. Ceti, HD 16160) B",,,M1V
"Gliese 105 (268 G. Ceti, HD 16160)","Gliese 105 (268 G. Ceti, HD 16160) C",,,M1V
2MASS J08354256-0819237,2MASS J08354256-0819237,23.5810.037,08h 35m 42.6s08  19 24,L5
GJ 4274 (L 788-34),GJ 4274 (L 788-34),23.59550.0082,22h 23m 07.0s17  36 26,M4.5Ve
Gliese 667 (142 G. Scorpii),Gliese 667 (142 G. Scorpii) A,23.62320.0048,17h 18m 57.2s34  59 23,K3V
Gliese 667 (142 G. Scorpii),Gliese 667 (142 G. Scorpii) B,,,K5V
Gliese 667 (142 G. Scorpii),Gliese 667 (142 G. Scorpii) C,,,M1.5V
WISE 06072429,WISE 06072429,23.6240.089,06h 07m 38.7s24  29 54,L8
WISE 03137807,WISE 03137807,24.050.51,03h 13m 26.0s78  07 44,T8.5
2MASS 1507-1627,2MASS 1507-1627,24.1690.047,15h 07m 47.7s16  27 389,L5.5
"HD 4628 (96 G. Piscium, Gliese 33)","HD 4628 (96 G. Piscium, Gliese 33)",24.2500.010,00h 48m 23.0s05  16 50,K2.5V
Beta Hydri,Beta Hydri,24.3270.020,00h 25m 45.1s 77  15 15,G2IV
WISE J20003629,WISE J20003629,24.450.41,20h 00m 50.2s36  29 50,T8
GJ 3991 (G 203-47),GJ 3991 (G 203-47) A,24.7840.081,17h 09m 32.0s43  40 49,M3.5V
GJ 3991 (G 203-47),GJ 3991 (G 203-47) B,,,D
Alpha Piscis Austrini,B (TW PsA),24.79290.0052,22h 56m 24.17s31  33 56,K5Vp
107 Piscium,107 Piscium,24.8050.029,01h 42m 29.8s20  16 07,K1V
G 141-36,G 141-36,24.84450.0075,18h 48m 17.5s07  41 21,M6V
Gliese 514 (BD11 2576),Gliese 514 (BD11 2576),24.87820.0051,13h 29m 59.8s10  22 38,M1.0V
WISE 17382732,WISE 17382732,24.920.41,17h 38m 35.5s27  32 59,Y0
GJ 4053 (G 258-33),GJ 4053 (G 258-33),24.92540.0041,18h 18m 57.2s66  11 33,M4.5V
WISE J23540240,WISE J23540240,24.970.65,23h 54m 02.8s02  40 14,Y1
GJ 4248 (L 499-56),GJ 4248 (L 499-56),25.0080.010,22h 02m 29.4s37  04 51,M3.5
Mu Cassiopeiae (Gliese 53),Mu Cassiopeiae (Gliese 53) A,25.0330.084,01h 08m 16.4s54  55 13,G5VIp
Mu Cassiopeiae (Gliese 53),Mu Cassiopeiae (Gliese 53) B,,,M5V
Alpha Piscis Austrini,C (LP 876-10),25.03680.0062,22h 48m 04.5s24  22 08,M4V
Vega (Alpha Lyrae),Vega (Alpha Lyrae),25.045  0.069,18h 36m 56.3s38  47 01,A0Va
VX Arietis (Gliese 109),VX Arietis (Gliese 109),25.05130.0054,02h 44m 15.5s25  31 24,M1V
Alpha Piscis Austrini,A (Fomalhaut),25.1260.091,22h 57m 39.0s29  37 20,A3V
AN Sextantis (Gliese 382),AN Sextantis (Gliese 382),25.13640.0049,10h 12m 17.7s03  44 44,M1V
Gliese 673 (HD 157881),Gliese 673 (HD 157881),25.15750.0034,17h 25m 45.2s02  06 41,K7V
