Column1,Column2,Column3,Column5,Column6
Wolf 489‡,Wolf 489‡,27.2349±0.0069,13h 36m 31.8s+03° 40? 45?,DZ10.0
GJ 1227 (G 227-29),GJ 1227 (G 227-29),27.2360±0.0078,18h 22m 27.1s+62° 03? 02?,M4.0V
GJ 1289 (G 130-4),GJ 1289 (G 130-4),27.275±0.013,23h 43m 06.3s+36° 32? 13?,MV
Gliese 185 (HD 32450),A,27.2766±0.0096,05h 02m 28.5s?21° 15? 24?,K7V
,B,,,M
SCR 1138-7721,SCR 1138-7721,27.3296±0.0070,11h 38m 16.8s?77° 21? 49?,MV
SCR J1546?5534,A,27.39±0.16,15h 46m 41.7s?55° 34? 47?,M7.5
,B§,,,T8
2MASS J00345157+0523050§,2MASS J00345157+0523050§,27.45±0.64,00h 34m 51.6s+05° 23? 05?,T6.5
TYC 3980-1081-1,A (IRAS 21500+5903),27.604±0.0036,21h 51m 38.3s+59° 17? 40?,M3.5V
,B (UCAC4 747-070768)‡,,,DAH
Beta Canum Venaticorum (Chara)$,Beta Canum Venaticorum (Chara)$,27.634±0.036,12h 33m 44.5s+41° 21? 27?,G0V
Gliese 232 (Ross 64),Gliese 232 (Ross 64),27.7046±0.0065,06h 24m 41.3s+23° 25? 59?,M4V
Gliese 618 (CD-37 10765),A,27.7647±0.0069,16h 20m 03.5s?37° 31? 44?,M3V
,B,,,M5
"Gliese 318 (CD-32 5613, LAWD 28)‡","Gliese 318 (CD-32 5613, LAWD 28)‡",27.7826±0.0049,08h 41m 32.4s?32° 56? 33?,DA5.5
61 Virginis$,61 Virginis$,27.836±0.035,13h 18m 24.3s?18° 18? 40?,G7V
GJ 1276 (EGGR 453)‡,GJ 1276 (EGGR 453)‡,27.8436±0.0081,22h 53m 53.3s?06° 46? 54?,DZ
Gliese 493.1 (Wolf 461),Gliese 493.1 (Wolf 461),27.869±0.015,13h 00m 33.5s+05° 41? 08?,M4.5Ve
GJ 3454 (G 89-32),A,27.97±0.23,07h 36m 25.1s+07° 04? 43?,M4.5V
,B,,,M
CWISEP 0402-2651§,CWISEP 0402-2651§,28.02+5.99?4.20,02h 02m 16.2s+10° 20? 14?,Y1
Gliese 877 (L 49-19),Gliese 877 (L 49-19),28.0412±0.0041,22h 55m 45.5s?75° 27? 31?,M3V
CD Ceti (GJ 1057),CD Ceti (GJ 1057),28.052±0.010,03h 13m 22.9s+04° 46? 29?,M4.5Ve
Zeta Tucanae$,Zeta Tucanae$,28.073±0.032,00h 20m 04.3s?64° 52? 29?,F9.5V
LP 502-56 (NLTT 40406),LP 502-56 (NLTT 40406),28.107±0.011,15h 30m 30.3s+09° 26? 01?,M5.5V
WISE 1647+5632§,WISE 1647+5632§,28.12+9.37?5.62,16h 47m 15.8s+56° 32? 06?,T6
CWISE 0617+1945,A§,28.2±5.7[34],06h 17m 41.8s+19° 45? 13?,L2
,B§,,,L4
GJ 3517 (LP 666-9),GJ 3517 (LP 666-9),28.242±0.018,08h 53m 36.2s?03° 29? 32?,M9V
Chi1 Orionis,A$,28.256±0.066,05h 54m 23.0s+20° 16? 34?,G0V
,B,,,
AP Columbae,AP Columbae,28.2636±0.0073,06h 04m 32.2s ?34° 33? 36?,M4.5Ve
SIPS J1141-3624 (PM J11413-3624),SIPS J1141-3624 (PM J11413-3624),28.3408±0.0088,11h 41m 21.5s?36° 24? 35?,M5
GJ 1207 (G 19-7),GJ 1207 (G 19-7),28.3822±0.0062,16h 57m 05.7s?04° 20? 56?,M3.5Ve
